restaurant_id,restaurant_name,zipcode,city
1542,Castillo LLC,456009,Guna
1178,Morgan Inc,453004,Bhopal
227,"Morse, Hayes and Anthony",477007,Jabalpur
1510,Rodgers-Nichols,418004,Ratlam
1902,Hernandez LLC,476006,Guna
247,Smith Group,474011,Gwalior
345,"Willis, Johnson and Mitchell",474008,Gwalior
642,Chandler-Moore,456004,Guna
1609,"Nelson, Chavez and Taylor",453002,Bhopal
1365,White Ltd,459010,Ujjain
1233,Davis Ltd,477012,Jabalpur
1018,Ford-Welch,472012,Indore
1000,Lynch Inc,456001,Guna
1062,"Klein, Barry and Taylor",478007,Rewa
1318,Mcdaniel Group,479012,Ujjain
1683,Walsh-Jackson,438004,Shivpuri
1186,"King, Johnson and Reyes",418001,Ratlam
1997,"Simmons, Thomas and Miller",474002,Gwalior
1558,"Matthews, Anderson and Wood",438003,Shivpuri
783,Horn-Hill,453004,Bhopal
1857,Spencer Ltd,459010,Ujjain
459,"Thomas, Mcdonald and Cox",453010,Bhopal
684,Smith Group,452003,Indore
822,Perez Ltd,418009,Ratlam
638,"Smith, Smith and Clark",458009,Rewa
1020,"Green, Jackson and Rhodes",472005,Indore
801,"Baker, Schultz and Hunt",476009,Guna
3,"Hobbs, Vincent and Stevens",452002,Indore
471,"Soto, Rodriguez and Woodard",473005,Bhopal
380,Smith Group,418004,Ratlam
218,"Gutierrez, Shepard and Grant",479007,Ujjain
48,"Norman, Smith and Spencer",452001,Indore
889,West and Sons,457002,Jabalpur
1399,Cruz-Moore,456004,Guna
1053,"Klein, Vazquez and Henderson",457003,Jabalpur
71,Short-Jacobs,474004,Gwalior
973,Jackson-Weber,452010,Indore
1842,Gilbert-Johnson,457008,Jabalpur
902,"Kennedy, Jones and Martinez",451010,Morena
1600,"Buckley, Hardy and Smith",458009,Rewa
1042,Johnston LLC,451001,Morena
410,Fitzgerald-Carter,451003,Morena
466,Armstrong Ltd,418009,Ratlam
1535,Anderson-Rose,438010,Shivpuri
1409,"Dunn, Morrow and Cunningham",452008,Indore
1170,"Morse, Lawson and Patterson",418009,Ratlam
1411,Hawkins PLC,478012,Rewa
1826,Austin-Alvarado,479009,Ujjain
1934,"Cook, Williams and Kaufman",453004,Bhopal
1484,Hansen-Dickson,479006,Ujjain
1800,"Ingram, Rodriguez and Hughes",438001,Shivpuri
357,"Hayden, Preston and Peterson",452003,Indore
1321,"Parks, Fowler and Carter",474007,Gwalior
1322,Walker and Sons,458004,Rewa
575,"Santana, Gonzalez and Mccullough",418009,Ratlam
1685,"Mendez, Miller and Torres",473006,Bhopal
1746,Gilbert-Bauer,452009,Indore
1860,"Rodriguez, Harris and Hines",477006,Jabalpur
1171,"Gill, Fry and Long",459008,Ujjain
1190,Melton Group,452001,Indore
1003,Smith-Yates,479012,Ujjain
1371,"Thompson, Shaw and Lamb",476006,Guna
1133,"Fernandez, Gomez and Murillo",476005,Guna
463,Nichols and Sons,473009,Bhopal
419,Pitts Ltd,474001,Gwalior
1418,"Oconnor, Richmond and Lynn",451001,Morena
